"run_name","split","acc_mean","acc_std"
"good-terrain-869","train","96.41333333333333","5.036265518255603"
"fast-monkey-865","train","80.47555555555556","11.775891672878025"
"hearty-morning-868","train","77.48222222222222","10.606429682852"
"wobbly-water-870","train","77.02444444444446","11.01202014411166"
"good-terrain-869","val","72.62","9.996927676189468"
"hopeful-haze-871","train","72.32444444444445","10.475576297532852"
"hearty-morning-868","val","70.26","10.437707283370871"
"hopeful-haze-871","val","65.25555555555555","9.575115639310724"
"glad-universe-866","train","64.35111111111112","14.59237683615644"
"good-terrain-869","test","63.66","7.1475424421938865"
"hearty-morning-868","test","62.96666666666667","7.240754002071781"
"wobbly-water-870","val","61.822222222222216","10.474566492694414"
"earnest-firebrand-867","train","60.07111111111111","14.010820509806864"
"noble-armadillo-864","train","58.03333333333333","14.368651577240925"
"fast-monkey-865","test","57.26","12.06564575177837"
"glad-universe-866","val","55.54666666666667","13.042680933225574"
"fast-monkey-865","val","55.47111111111111","12.300387628138763"
"noble-armadillo-864","val","55.277777777777786","12.375239117280787"
"hopeful-haze-871","test","54.55111111111111","8.534634160109828"
"earnest-firebrand-867","val","53.27333333333333","12.082651781545062"
"noble-armadillo-864","test","52.95333333333333","11.415683169316772"
"glad-universe-866","test","52.92","12.233086888223054"
"earnest-firebrand-867","test","50.02666666666667","11.305555500955501"
"wobbly-water-870","test","47.22222222222223","8.786493563179938"
