"split","acc_mean","acc_std","run_name"
"train","95.20444444444443","5.451576281280241","fanciful-snowball-763"
"val","68.23333333333333","9.650273456113965","fanciful-snowball-763"
"test","59.25111111111112","7.83150680044601","fanciful-snowball-763"
"train","68.98222222222222","14.040828648473795","firm-planet-678"
"val","49.77111111111111","12.84348150946427","firm-planet-678"
"test","49.42","11.633726831931373","firm-planet-678"
"train","84.42444444444445","10.647788618729047","flowing-plant-719"
"val","53.61555555555556","11.795305825037893","flowing-plant-719"
"test","52.99555555555556","11.602233927083414","flowing-plant-719"
"train","95.05777777777779","5.9060228726986415","flowing-surf-767"
"val","66.54","10.536931171765264","flowing-surf-767"
"test","59.96","7.515999724045487","flowing-surf-767"
"train","81.09777777777778","12.27647836261093","fragrant-water-753"
"val","50.54888888888889","11.71543057596463","fragrant-water-753"
"test","46.86444444444444","10.774152654946874","fragrant-water-753"
"train","93.50666666666666","6.520590748061384","fresh-water-807"
"val","67.66222222222221","10.57565244754942","fresh-water-807"
"test","62.115555555555545","7.722500714402726","fresh-water-807"
"train","65.85111111111112","13.643559689012772","gallant-moon-733"
"val","51.28","12.229053444488176","gallant-moon-733"
"test","49.28","12.006793138947698","gallant-moon-733"
"train","84.94666666666667","9.453126466942036","gallant-violet-812"
"val","69.00444444444445","9.15018612777027","gallant-violet-812"
"test","64.41555555555554","7.687357265562402","gallant-violet-812"
"train","63.79777777777779","13.880249579710796","genial-silence-700"
"val","54.19555555555556","12.599481862754377","genial-silence-700"
"test","52.513333333333335","11.274890489736721","genial-silence-700"
"train","93.3711111111111","6.803597813648053","gentle-universe-803"
"val","67.41777777777777","9.562208536670042","gentle-universe-803"
"test","60.233333333333334","8.068709566843639","gentle-universe-803"
"train","64.58444444444446","14.514536094022825","giddy-star-691"
"val","54.437777777777775","12.290956426435788","giddy-star-691"
"test","54.42222222222222","11.41562714921421","giddy-star-691"
"train","83.14888888888889","11.066736055114907","glorious-mountain-739"
"val","53.86","12.290723391301322","glorious-mountain-739"
"test","53.3","10.92175877845756","glorious-mountain-739"
"train","77.34888888888888","11.762201649959968","golden-jazz-724"
"val","53.413333333333334","12.09589339557178","golden-jazz-724"
"test","57.475555555555545","11.620310868963792","golden-jazz-724"
"train","91.51111111111112","7.491493117917316","good-darkness-791"
"val","69.46222222222222","8.527844299414813","good-darkness-791"
"test","61.50888888888888","7.11484589423871","good-darkness-791"
"train","68.42888888888888","14.618194480733356","grateful-hill-750"
"val","55.33777777777779","12.799536257031415","grateful-hill-750"
"test","54.391111111111115","12.186498094303758","grateful-hill-750"
"train","87.4","10.522709128708607","happy-silence-677"
"val","55.15555555555556","12.872633427470257","happy-silence-677"
"test","56.32888888888889","11.271924260888639","happy-silence-677"
"train","83.58","11.215791116562862","hearty-sea-720"
"val","53.56444444444445","12.125513149380627","hearty-sea-720"
"test","53.513333333333335","11.059176179886897","hearty-sea-720"
"train","92.29333333333334","7.170920701256131","hopeful-armadillo-820"
"val","69.66888888888889","9.143303290481422","hopeful-armadillo-820"
"test","64.96444444444445","7.440444696652923","hopeful-armadillo-820"
"train","76.54222222222222","10.485796154210433","hopeful-cosmos-765"
"val","57.82888888888888","11.20556982316064","hopeful-cosmos-765"
"test","49.78444444444444","7.835780862708901","hopeful-cosmos-765"
"train","92.32888888888888","7.385570182022527","hopeful-cosmos-772"
"val","69.04444444444444","9.156067946827042","hopeful-cosmos-772"
"test","64.23555555555556","7.504126930406648","hopeful-cosmos-772"
"train","76.43333333333334","10.65911190797182","iconic-bird-781"
"val","60.45111111111112","11.183628025040404","iconic-bird-781"
"test","49.291111111111114","7.6016369257297","iconic-bird-781"
"train","93.56222222222222","6.361765031890731","kind-morning-816"
"val","69.32666666666667","9.45711333296755","kind-morning-816"
"test","63.39555555555556","7.602863658021833","kind-morning-816"
"train","85.03777777777779","11.085328085601803","leafy-plasma-709"
"val","55.18888888888889","13.47754877519107","leafy-plasma-709"
"test","53.46666666666667","11.637232711653796","leafy-plasma-709"
"train","94.92","5.803278766735617","lemon-paper-788"
"val","69.96","9.726856292417057","lemon-paper-788"
"test","62.71111111111111","8.023545597216811","lemon-paper-788"
"train","94.88","5.964000645850378","light-elevator-795"
"val","66.99333333333334","10.254102701954093","light-elevator-795"
"test","60.411111111111104","7.080062425615842","light-elevator-795"
"train","66.13333333333334","14.669090708773403","light-firebrand-758"
"val","54.71333333333333","12.272494388612223","light-firebrand-758"
"test","53.85333333333333","11.689151665825312","light-firebrand-758"
"train","77.20888888888888","10.997208175456214","lilac-bird-777"
"val","60.44444444444445","9.290908871274164","lilac-bird-777"
"test","49.36666666666667","7.573173902860211","lilac-bird-777"
"train","62.67555555555556","14.35073603308757","logical-silence-725"
"val","53.21333333333333","12.795269959376913","logical-silence-725"
"test","52.28888888888889","11.92840783928211","logical-silence-725"
"train","87.46222222222221","10.69196906416848","lucky-microwave-747"
"val","55.61111111111111","13.648275792156511","lucky-microwave-747"
"test","53.96666666666667","11.787956817274397","lucky-microwave-747"
"train","71.09555555555556","14.539134248343608","lyric-dust-717"
"val","51.78666666666667","13.44625956525815","lyric-dust-717"
"test","48.66","11.286436960319197","lyric-dust-717"
"train","89.54222222222221","8.578227967460903","major-cloud-819"
"val","67.74","10.066473140155964","major-cloud-819"
"test","63.14","8.19708801049811","major-cloud-819"
"train","71.54222222222221","10.954082389121158","major-deluge-794"
"val","65.62666666666665","9.949347270605802","major-deluge-794"
"test","52.717777777777776","8.46799960344535","major-deluge-794"
"train","71.80444444444446","10.580358228666626","misty-bird-770"
"val","65.99555555555554","9.67562700938246","misty-bird-770"
"test","53.815555555555555","8.325688641669508","misty-bird-770"
"train","91.68222222222222","8.224429433472748","misty-forest-809"
"val","57.55777777777779","10.950392968877395","misty-forest-809"
"test","45.81555555555556","8.169413294738302","misty-forest-809"
"train","83.82","11.13606952404862","misunderstood-dream-689"
"val","53.653333333333336","12.521677795519848","misunderstood-dream-689"
"test","52.07333333333333","11.575092672215215","misunderstood-dream-689"
"train","79.28666666666666","12.509820142591977","noble-snowball-693"
"val","54.655555555555544","13.087846591210555","noble-snowball-693"
"test","55.53555555555555","11.751021810048986","noble-snowball-693"
"train","62.54222222222223","13.755190086690465","northern-breeze-754"
"val","54.56","12.034291743919862","northern-breeze-754"
"test","52.37555555555556","11.639956514279637","northern-breeze-754"
"train","93.36666666666666","6.74193619843022","northern-butterfly-799"
"val","67.55777777777779","9.559017202439966","northern-butterfly-799"
"test","58.835555555555544","7.731105681707396","northern-butterfly-799"
"train","72.41111111111113","10.772249441258372","northern-water-802"
"val","67.12222222222222","9.886310525290469","northern-water-802"
"test","54.15555555555556","8.826531273438487","northern-water-802"
"train","85.11333333333333","10.72161748438553","peach-yogurt-662"
"val","54.14666666666667","12.331319955781371","peach-yogurt-662"
"test","55.41111111111112","11.403178027892157","peach-yogurt-662"
"train","77.28888888888889","12.177372256021757","pious-universe-752"
"val","54.50666666666667","11.881059935257678","pious-universe-752"
"test","54.67111111111111","11.402403038909316","pious-universe-752"
"train","65.06444444444445","14.317727766481024","pleasant-snowflake-695"
"val","51.166666666666664","11.862749041213625","pleasant-snowflake-695"
"test","54.00888888888889","12.678354062274607","pleasant-snowflake-695"
"train","73.03333333333333","13.598107166753707","pretty-eon-721"
"val","51.591111111111104","13.678810142464156","pretty-eon-721"
"test","48.848888888888894","11.323236460951316","pretty-eon-721"
"train","92.52888888888889","7.269131759929097","prime-silence-828"
"val","69.30666666666667","9.55045238408845","prime-silence-828"
"test","64.85777777777777","7.787867740955625","prime-silence-828"
"train","82.82444444444444","10.288375077163305","radiant-planet-825"
"val","59.07111111111111","10.951853329826175","radiant-planet-825"
"test","50.24444444444444","8.229276253372527","radiant-planet-825"
"train","86.20222222222223","11.459713438771733","rare-eon-727"
"val","55.104444444444454","13.12868708939923","rare-eon-727"
"test","53.968888888888884","11.41404895645042","rare-eon-727"
"train","89.31333333333333","8.167299748704293","rare-tree-771"
"val","67.15111111111112","9.417523985883516","rare-tree-771"
"test","61.72","7.393598833024666","rare-tree-771"
"train","83.80444444444446","11.47765537204817","resilient-moon-731"
"val","54.14","12.29650778488363","resilient-moon-731"
"test","54.577777777777776","11.977922077052874","resilient-moon-731"
"train","68.32","13.087221927428976","resilient-oath-684"
"val","53.12","12.368974327967777","resilient-oath-684"
"test","54.08444444444444","12.917469461312871","resilient-oath-684"
"train","75.18666666666667","13.340968924776485","rose-glitter-688"
"val","52.73555555555556","13.438738734175619","rose-glitter-688"
"test","53.617777777777775","12.253458267206561","rose-glitter-688"
