,run_name,split,acc_mean,acc_std
0,absurd-oath-568,train,96.74,5.097039082389639
1,absurd-oath-568,val,83.84888888888888,10.706909272653782
2,absurd-oath-568,test,80.78444444444445,11.114664098599263
3,absurd-snowflake-592,train,96.75333333333332,5.0401249249655775
4,absurd-snowflake-592,val,83.95777777777779,10.57802030534291
5,absurd-snowflake-592,test,81.28666666666666,10.718245434080393
6,absurd-sunset-542,train,88.4088888888889,10.470922465759672
7,absurd-sunset-542,val,76.26222222222222,13.109317391425682
8,absurd-sunset-542,test,74.34666666666666,12.559716911176338
9,ancient-frost-501,train,86.13111111111112,11.15044570885724
10,ancient-frost-501,val,76.04222222222222,13.351143475326952
11,ancient-frost-501,test,76.77111111111111,12.07707572323248
12,astral-glade-584,train,96.8711111111111,4.623256294586327
13,astral-glade-584,val,84.31333333333333,10.281355293280486
14,astral-glade-584,test,78.51333333333334,11.622081792225744
15,atomic-shadow-544,train,91.25333333333332,9.153156104135157
16,atomic-shadow-544,val,74.13111111111112,13.200920095130668
17,atomic-shadow-544,test,68.27555555555556,13.248885161578364
18,balmy-dust-516,train,92.1822222222222,8.907557063499857
19,balmy-dust-516,val,75.36,13.43050811206144
20,balmy-dust-516,test,71.32,13.16875538988095
21,balmy-flower-478,train,89.0488888888889,10.80749991075585
22,balmy-flower-478,val,76.10222222222221,13.080998187456755
23,balmy-flower-478,test,74.1111111111111,12.264230837059916
24,charmed-sky-552,train,94.39111111111112,6.347556738085126
25,charmed-sky-552,val,81.91777777777779,11.421839812016191
26,charmed-sky-552,test,79.51555555555557,11.178921081357084
27,classic-aardvark-529,train,86.44,11.170153352838357
28,classic-aardvark-529,val,75.89111111111112,13.44078903474581
29,classic-aardvark-529,test,76.2511111111111,12.0197021388291
30,classic-cosmos-527,train,94.93111111111112,7.021110671519742
31,classic-cosmos-527,val,76.95555555555556,12.933543335446654
32,classic-cosmos-527,test,77.82,12.478967787322675
33,classic-gorge-583,train,98.3488888888889,2.8910684086008542
34,classic-gorge-583,val,86.82888888888888,9.072893014596888
35,classic-gorge-583,test,82.52222222222221,9.920865902072942
36,classic-grass-601,train,91.73111111111112,7.827131981877424
37,classic-grass-601,val,80.50222222222222,12.20575132599787
38,classic-grass-601,test,78.11555555555556,12.606816890030784
39,clean-feather-543,train,91.1,9.000020576108168
40,clean-feather-543,val,76.19111111111111,13.267802668653202
41,clean-feather-543,test,71.75555555555555,12.800906603695816
42,colorful-valley-551,train,97.56444444444443,3.954546687823125
43,colorful-valley-551,val,85.98666666666666,9.513489837535378
44,colorful-valley-551,test,84.46666666666667,9.792287214378922
45,comfy-lion-504,train,90.78222222222225,9.947341849787977
46,comfy-lion-504,val,75.51333333333334,13.157852464649444
47,comfy-lion-504,test,72.33555555555554,12.541250257637447
48,comic-sun-489,train,87.86666666666666,10.379466909881902
49,comic-sun-489,val,77.07555555555555,12.72612632964268
50,comic-sun-489,test,75.77555555555554,12.48192747856864
51,confused-breeze-493,train,87.69333333333333,10.378647596191229
52,confused-breeze-493,val,77.42,13.223376046761814
53,confused-breeze-493,test,75.73333333333333,12.603820702322622
54,copper-jazz-485,train,87.71555555555555,10.624178341504756
55,copper-jazz-485,val,76.35111111111112,12.479600341812157
56,copper-jazz-485,test,75.36888888888888,12.824695313205035
57,crimson-jazz-519,train,90.81777777777778,9.195537296582485
58,crimson-jazz-519,val,76.03333333333333,13.034271066009875
59,crimson-jazz-519,test,73.85111111111112,13.38905228116069
60,dandy-energy-614,train,92.94666666666669,7.24175955700557
61,dandy-energy-614,val,83.22222222222221,10.775532412156354
62,dandy-energy-614,test,80.92222222222222,11.062108610639308
63,dandy-music-526,train,89.00888888888889,10.878789874604736
64,dandy-music-526,val,76.3711111111111,13.236147848847232
65,dandy-music-526,test,74.75777777777779,12.280209713896744
66,dandy-tree-497,train,87.18222222222221,10.648914858065163
67,dandy-tree-497,val,76.66,13.368618311387142
68,dandy-tree-497,test,73.91111111111111,12.782086230152798
69,dazzling-river-486,train,88.45333333333333,10.235543011523168
70,dazzling-river-486,val,75.21111111111112,13.049984627018995
71,dazzling-river-486,test,74.38666666666667,12.615280563812432
72,decent-armadillo-597,train,91.7,7.912226825194875
73,decent-armadillo-597,val,80.67555555555555,12.007895345033782
74,decent-armadillo-597,test,79.9511111111111,11.56433768846446
75,deep-salad-479,train,94.94444444444444,6.911280812493138
76,deep-salad-479,val,77.30666666666667,13.514081544818351
77,deep-salad-479,test,78.21333333333334,12.322654836609772
78,denim-wind-573,train,91.9177777777778,7.596240460635938
79,denim-wind-573,val,81.10888888888888,11.583129281442789
80,denim-wind-573,test,78.78,11.622285744462056
81,devoted-energy-594,train,92.83555555555554,7.2004883236323245
82,devoted-energy-594,val,83.00666666666666,10.926282957129532
83,devoted-energy-594,test,80.88,11.224660681170162
84,devoted-tree-533,train,87.72666666666667,10.296030878540131
85,devoted-tree-533,val,77.06,12.5795583741596
86,devoted-tree-533,test,74.83777777777779,12.608887909763798
87,different-energy-607,train,98.57333333333334,2.711326038839461
88,different-energy-607,val,86.02666666666667,9.483203084440444
89,different-energy-607,test,83.17333333333333,10.222032848487409
90,different-sky-547,train,96.14,4.932247628279289
91,different-sky-547,val,85.98444444444443,9.76735580933616
92,different-sky-547,test,86.60444444444444,9.113391584522171
93,drawn-hill-571,train,97.60444444444444,4.041706032645248
94,drawn-hill-571,val,85.92,9.85762949492723
95,drawn-hill-571,test,84.8911111111111,9.327458203777162
96,drawn-moon-593,train,91.43111111111112,7.765598082584942
97,drawn-moon-593,val,80.17777777777779,12.004114520950672
98,drawn-moon-593,test,78.31111111111112,11.629761735508229
99,drawn-sea-587,train,98.32,3.3455066604050896
100,drawn-sea-587,val,86.9,8.981070628250825
