"Name","State","Notes","User","Tags","Created","Runtime","Sweep","backbone._target_","backbone.layer_dim","checkpoint.dir","checkpoint.test_iter","checkpoint.time","dataset.name","dataset.set_cls._target_","dataset.set_cls.n_query","dataset.set_cls.n_support","dataset.set_cls.n_way","dataset.simple_cls._target_","dataset.type","eval_split","exp.name","exp.resume","exp.save_freq","exp.seed","exp.val_freq","iter_num","lr","method.cls._target_","method.cls.dim_feedforward","method.cls.dropout","method.cls.inner_lr","method.cls.loss","method.cls.n_classes","method.cls.n_head","method.cls.n_support","method.cls.n_task","method.cls.n_way","method.cls.num_layers","method.cls.score","method.cls.score._target_","method.cls.task_update_num","method.cls.type","method.eval_type","method.fast_weight","method.maml_inner_lr","method.n_task","method.name","method.start_epoch","method.stop_epoch","method.task_update_num","method.train_batch","method.type","mode","model","model_details.FCE.lstmcell","model_details.FCE.softmax","model_details.G_encoder","model_details.classifier","model_details.classifier.L","model_details.feature.encoder.0.0","model_details.feature.encoder.0.1","model_details.feature.encoder.0.2","model_details.feature.encoder.0.3","model_details.feature.encoder.1.0","model_details.feature.encoder.1.1","model_details.feature.encoder.1.2","model_details.feature.encoder.1.3","model_details.loss_fn","model_details.relu","model_details.score","model_details.softmax","model_details.transform.dropout","model_details.transform.dropout1","model_details.transform.dropout2","model_details.transform.gen1","model_details.transform.gen2","model_details.transform.gen3","model_details.transform.gen4","model_details.transform.linear1","model_details.transform.linear2","model_details.transform.lstm","model_details.transform.norm1","model_details.transform.norm2","model_details.transform.self_attn.out_proj","n_query","n_shot","n_way","optimizer","optimizer_cls._target_","optimizer_cls.lr","optimizer_details.amsgrad","optimizer_details.betas","optimizer_details.capturable","optimizer_details.differentiable","optimizer_details.eps","optimizer_details.lr","optimizer_details.maximize","optimizer_details.weight_decay","train_classes","wandb.entity","wandb.mode","wandb.project","acc/val","epoch","loss","loss/train"
"dutiful-dawn-660","finished","-","vsa","","2023-12-01T08:20:46.000Z","172","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_082044","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.0001","methods.settoset.feads.FEADS","","","","","","","5","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","73.54666666666667","39","2.0460793055020847",""
"likely-cherry-655","finished","-","vsa","","2023-12-01T08:00:35.000Z","169","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_080034","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.001","methods.settoset.feads.FEADS","","","","","","","1","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","66.65333333333334","39","2.072788364284641",""
"olive-energy-659","finished","-","vsa","","2023-12-01T08:16:43.000Z","171","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_081641","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.001","methods.settoset.feads.FEADS","","","","","","","5","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","73.69333333333333","39","1.996296525001526",""
"polished-eon-658","finished","-","vsa","","2023-12-01T08:12:39.000Z","172","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_081237","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.0001","methods.settoset.feads.FEADS","","","","","","","5","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","88.17333333333335","39","0.17336896340974228",""
"pretty-gorge-656","finished","-","vsa","","2023-12-01T08:04:36.000Z","173","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_080434","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.0001","methods.settoset.feads.FEADS","","","","","","","1","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","71.89333333333333","39","2.1106809914767086",""
"sleek-dust-653","finished","-","vsa","","2023-12-01T07:52:30.000Z","174","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_075229","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.001","methods.settoset.feads.FEADS","","","","","","","1","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","79.10666666666665","39","0.3234842078821672",""
"young-dream-657","finished","-","vsa","","2023-12-01T08:08:40.000Z","167","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_080839","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.001","methods.settoset.feads.FEADS","","","","","","","5","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","88.72","39","0.10272809842110173",""
"zany-cosmos-654","finished","-","vsa","","2023-12-01T07:56:36.000Z","168","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_feads_star/tabula_muris/feads_FCNet","best_model","20231201_075634","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_feads_star","false","10","42","1","600","0.0001","methods.settoset.feads.FEADS","","","","","","","1","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feads","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","Linear(in_features=64, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","Linear(in_features=128, out_features=256, bias=True)","Linear(in_features=256, out_features=64, bias=True)","","","","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","76.70666666666668","39","0.8422947407439146",""
