"run_name","split","acc_mean","acc_std"
"polished-eon-658","train","97.53555555555556","3.8847082290297377"
"young-dream-657","train","96.12888888888888","4.705361271077709"
"sleek-dust-653","train","95.73333333333333","6.035941732040875"
"olive-energy-659","train","91.51333333333334","8.045622688421602"
"zany-cosmos-654","train","90.83777777777779","9.610043871381471"
"dutiful-dawn-660","train","89.63555555555554","8.80591944568826"
"young-dream-657","val","87.95111111111112","8.515118290791552"
"young-dream-657","test","87.33555555555556","8.606629371351046"
"polished-eon-658","val","87.13777777777779","8.630882248939661"
"pretty-gorge-656","train","86.63111111111112","11.10936519616348"
"likely-cherry-655","train","85.72","11.426744457144778"
"polished-eon-658","test","85.62222222222222","8.949211979930322"
"olive-energy-659","val","83.09111111111112","11.183612128776355"
"olive-energy-659","test","80.26","11.373026568742963"
"dutiful-dawn-660","val","80.16444444444444","11.587844631762914"
"sleek-dust-653","val","79.52222222222223","13.034422612433056"
"sleek-dust-653","test","78.64666666666666","12.670276093925354"
"zany-cosmos-654","val","76.81555555555555","13.358700128972222"
"dutiful-dawn-660","test","75.94222222222221","12.151497189672442"
"likely-cherry-655","val","75.51777777777778","13.433900548635055"
"pretty-gorge-656","val","74.15555555555557","14.055322791221556"
"likely-cherry-655","test","72.78444444444445","13.906280844049578"
"zany-cosmos-654","test","69.49111111111111","13.645305618860236"
"pretty-gorge-656","test","68.06444444444445","12.943134697687"
