"run_name","split","acc_mean","acc_std"
"fast-oath-477","train","86.78222222222223","10.952218558722462"
"fast-oath-477","val","76.08","13.193246308174048"
"fast-oath-477","test","76.55555555555554","12.366961162511254"
"fearless-snowball-591","train","98.27555555555556","3.2570713194903966"
"fearless-snowball-591","val","86.97333333333333","8.964169003645901"
"fearless-snowball-591","test","84.21111111111112","9.34728454659757"
"feasible-yogurt-541","train","87.48444444444443","10.567356210706189"
"feasible-yogurt-541","val","77","13.649637086479355"
"feasible-yogurt-541","test","74.25333333333333","12.67722834528583"
"fine-dew-518","train","88.4","10.476357863020626"
"fine-dew-518","val","76.31333333333333","13.159293575546046"
"fine-dew-518","test","74.64","12.355446842047707"
"fine-frog-534","train","88.36","10.358358228270792"
"fine-frog-534","val","74.99111111111112","13.05787383672405"
"fine-frog-534","test","73.89777777777779","12.761803347934729"
"fine-leaf-586","train","92.89777777777779","7.453952137566744"
"fine-leaf-586","val","82.78888888888889","10.691908790307131"
"fine-leaf-586","test","80.96","10.071883857771816"
"firm-frog-520","train","90.91333333333333","9.312749524372688"
"firm-frog-520","val","74.30666666666667","13.3965457128708"
"firm-frog-520","test","69.84","13.456251197725773"
"floral-terrain-557","train","91.09777777777778","8.110947943564298"
"floral-terrain-557","val","82.37333333333333","11.023068067903312"
"floral-terrain-557","test","79.96888888888888","12.63430642201748"
"flowing-dew-618","train","91.75333333333333","7.62305761538029"
"flowing-dew-618","val","82.83111111111111","10.999376862260185"
"flowing-dew-618","test","81.20666666666666","11.029063960819697"
"flowing-snowflake-487","train","95.51555555555555","6.4687953731932915"
"flowing-snowflake-487","val","78.10222222222221","12.542369477047208"
"flowing-snowflake-487","test","75.9688888888889","12.57648285442533"
"fluent-eon-491","train","95.25777777777779","6.94018322595856"
"fluent-eon-491","val","78.25777777777778","13.166688982634629"
"fluent-eon-491","test","77.78222222222225","12.16406283654265"
"fragrant-vortex-599","train","97.32222222222221","4.322879127458608"
"fragrant-vortex-599","val","85.48666666666666","9.897708676104639"
"fragrant-vortex-599","test","83.91555555555554","9.85127829018231"
"fresh-planet-617","train","91.63333333333334","7.680976982611484"
"fresh-planet-617","val","80.36888888888888","11.866426131561367"
"fresh-planet-617","test","79.58444444444444","11.475283368835026"
"fresh-serenity-560","train","96.93777777777777","4.566932136106521"
"fresh-serenity-560","val","84.87555555555555","9.986846658121848"
"fresh-serenity-560","test","79.52222222222221","11.300863072033017"
"gallant-fire-540","train","91.29555555555555","9.332939409676428"
"gallant-fire-540","val","74.82","13.139374245204966"
"gallant-fire-540","test","71.18","13.116013960888507"
"gallant-forest-615","train","98.14222222222223","3.5357112892581677"
"gallant-forest-615","val","85.48222222222222","10.023013272550747"
"gallant-forest-615","test","82.46222222222221","10.356017157093971"
"gallant-snowball-575","train","97.65333333333334","3.9490983499753174"
"gallant-snowball-575","val","86.03555555555555","9.752123921877446"
"gallant-snowball-575","test","84.26888888888888","9.98081097177584"
"generous-firebrand-556","train","96.81555555555555","4.4203295782381335"
"generous-firebrand-556","val","84.68444444444445","10.036952958510767"
"generous-firebrand-556","test","80.84888888888888","10.685094267537972"
"generous-salad-567","train","98.35555555555555","3.3736817269952613"
"generous-salad-567","val","86.32444444444444","9.33023334761718"
"generous-salad-567","test","84.17111111111112","10.129402502701154"
"gentle-wildflower-524","train","91.71555555555555","9.225519089413659"
"gentle-wildflower-524","val","77.06222222222222","13.325908302955016"
"gentle-wildflower-524","test","73.13555555555556","12.594860601858478"
"giddy-shadow-476","train","90.65333333333334","9.899635608707282"
"giddy-shadow-476","val","75.36888888888889","13.33061898297059"
"giddy-shadow-476","test","71.34","12.328345537974823"
"glorious-butterfly-605","train","90.89333333333333","8.359454173214546"
"glorious-butterfly-605","val","82.3711111111111","10.808435434567293"
"glorious-butterfly-605","test","79.96","12.52641180037574"
"glorious-waterfall-579","train","97.23333333333333","3.9152597946061336"
"glorious-waterfall-579","val","87.91333333333333","8.808155311982187"
"glorious-waterfall-579","test","83.44","10.458547452434052"
"glowing-firefly-609","train","91.01111111111112","8.233078418605862"
"glowing-firefly-609","val","81.98888888888888","10.998714851975286"
"glowing-firefly-609","test","78.21111111111111","13.23664479511703"
"good-valley-494","train","88.74444444444444","10.34629414182372"
"good-valley-494","val","76.45777777777778","13.281150478203738"
"good-valley-494","test","74.91555555555554","12.31044041494359"
"good-waterfall-595","train","97.40888888888888","4.324631719137809"
"good-waterfall-595","val","85.60666666666667","9.720811580201408"
"good-waterfall-595","test","85.3","9.184628866067882"
"graceful-universe-503","train","95.16","6.932021243368959"
"graceful-universe-503","val","78.69777777777777","12.722645116697711"
"graceful-universe-503","test","77.31333333333333","11.939212083935237"
"hearty-sun-482","train","89.05555555555554","10.880762273587317"
"hearty-sun-482","val","76.11555555555555","13.166679981240339"
"hearty-sun-482","test","74","12.525529485370624"
"hopeful-planet-589","train","91.42","7.89401367188149"
"hopeful-planet-589","val","80.06","11.56774378590295"
"hopeful-planet-589","test","75.55777777777777","11.612891729495615"
"iconic-leaf-508","train","90.91777777777779","9.275650055420229"
"iconic-leaf-508","val","75.3488888888889","13.262916089980987"
"iconic-leaf-508","test","69.17777777777779","13.645222561960361"
"iconic-spaceship-499","train","94.43555555555555","7.24634739833"
"iconic-spaceship-499","val","77.53555555555556","13.074283305428917"
"iconic-spaceship-499","test","77.84444444444445","12.383720895186412"
"iconic-spaceship-525","train","86.31333333333333","11.252899544035225"
"iconic-spaceship-525","val","75.63333333333334","13.46904544446952"
"iconic-spaceship-525","test","76.25777777777778","12.360219743142329"
"legendary-plant-590","train","92.96666666666667","7.15368332994865"
"legendary-plant-590","val","83.32","10.753526897755021"
"legendary-plant-590","test","80.98666666666666","11.158579492762343"
"lemon-forest-531","train","94.84444444444443","7.1998628244820075"
"lemon-forest-531","val","78.43111111111111","12.919267647324668"
"lemon-forest-531","test","73.0311111111111","12.712102525439446"
"light-elevator-602","train","90.62888888888888","8.282872704980658"
"light-elevator-602","val","83.24","10.862788674082626"
"light-elevator-602","test","82.23111111111112","10.023671735533261"
"lilac-durian-555","train","98.66222222222223","2.6465873670366573"
"lilac-durian-555","val","87.01777777777778","8.96022376263803"
"lilac-durian-555","test","85.49333333333334","9.315754874882062"
"lively-jazz-490","train","87.82666666666667","10.496681662598231"
"lively-jazz-490","val","74.89777777777778","12.997774548355443"
"lively-jazz-490","test","73.65777777777778","12.641902497861313"
"lucky-star-610","train","92.86222222222223","7.457353980807251"
"lucky-star-610","val","82.66888888888889","10.819597902206537"
"lucky-star-610","test","80.80444444444444","10.262278042290802"
"mild-cosmos-582","train","93.04888888888888","7.318508921871052"
"mild-cosmos-582","val","82.91111111111113","10.686624846848696"
"mild-cosmos-582","test","81.28666666666666","9.90297598367952"
"mild-totem-554","train","90.66666666666667","8.28742912376821"
"mild-totem-554","val","83.27777777777777","10.826162869139546"
"mild-totem-554","test","82.42444444444445","9.83797605402179"
"mild-yogurt-578","train","90.58444444444444","8.320384309737646"
"mild-yogurt-578","val","83.22222222222223","10.856891763549644"
"mild-yogurt-578","test","82.12","10.071027752915787"
"morning-bush-613","train","91.82666666666667","7.73675403272994"
"morning-bush-613","val","79.08444444444444","12.044988917582753"
"morning-bush-613","test","76.43111111111111","12.039844139920593"
"pious-armadillo-502","train","89.1","10.770140478467583"
"pious-armadillo-502","val","76.14666666666666","13.295138626998634"
"pious-armadillo-502","test","74.70888888888888","12.383070681627109"
"pious-eon-481","train","86.35333333333334","11.175616976919656"
"pious-eon-481","val","75.70444444444445","13.431143282555778"
"pious-eon-481","test","76.60666666666667","12.207682462740875"
"playful-deluge-517","train","88.05555555555554","10.302097353284099"
"playful-deluge-517","val","77.55333333333333","13.216674653213225"
"playful-deluge-517","test","74.50666666666666","12.60045384250254"
"pleasant-lake-603","train","98.11555555555555","3.3587887293479866"
"pleasant-lake-603","val","86.43777777777777","9.643315602139607"
"pleasant-lake-603","test","84.78222222222222","9.376328482005585"
"polar-brook-537","train","87.84444444444445","10.622942792853914"
"polar-brook-537","val","77.03777777777779","12.700949901289341"
"polar-brook-537","test","75.3911111111111","12.428268057681256"
"proud-silence-513","train","87.88222222222221","10.423380887975"
"proud-silence-513","val","76.60888888888888","12.558470458097737"
"proud-silence-513","test","75.13333333333334","12.4838859097401"
"restful-wind-507","train","95.34","6.868065661154234"
"restful-wind-507","val","78.31333333333333","12.524212402234973"
"restful-wind-507","test","77.93333333333334","12.373987051696618"
"revived-puddle-566","train","92.91111111111113","7.250406544582753"
"revived-puddle-566","val","83.26","10.731771452957734"
"revived-puddle-566","test","81.17555555555555","10.965075647282024"
